NAME,total_housing_units,built_2020_plus,built_2010_2019,built_2000_2009,total_units_in_structure,units_10_19,units_20_49,units_50_plus,median_home_value,owner_occupied,renter_occupied,total_pop,median_hh_income,bachelors,masters,professional_degree,doctorate,GEOID,lat,lon,county_fips,county_name,pct_new_housing,pct_renter,pct_college,units_10_plus,tier_label,tier_color,state_avg_pct_new,tract_fips,mobility_score
Block Group 4; Census Tract 9605; Box Elder County; Utah,444,0,28,35,444,52,0,0,230200.0,300,144,1064,60611.0,102,0,8,0,490039605004,41.5093355,-112.0215646,49003,Box Elder,0.0,0.32432432432432434,0.10338345864661654,52,Minimal new construction,#D9D9D9,0.02349461311125304,49003960500,0.4053224
Block Group 1; Census Tract 9606.01; Box Elder County; Utah,439,0,0,8,439,0,0,26,293900.0,175,238,1060,49653.0,91,12,0,12,490039606011,41.5216979,-112.0108983,49003,Box Elder,0.0,0.576271186440678,0.10849056603773585,26,Minimal new construction,#D9D9D9,0.02349461311125304,49003960601,0.42168289
Block Group 2; Census Tract 9606.01; Box Elder County; Utah,518,0,0,11,518,0,0,0,287100.0,491,0,1352,58792.0,127,132,15,8,490039606012,41.518129,-112.0030726,49003,Box Elder,0.0,0.0,0.20857988165680474,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960601,0.42168289
Block Group 3; Census Tract 9606.01; Box Elder County; Utah,273,0,0,13,273,0,15,0,329200.0,151,122,673,74797.0,101,48,8,25,490039606013,41.5157914,-112.0109126,49003,Box Elder,0.0,0.4468864468864469,0.2704309063893016,15,Minimal new construction,#D9D9D9,0.02349461311125304,49003960601,0.42168289
Block Group 4; Census Tract 9606.01; Box Elder County; Utah,280,0,0,0,280,0,0,0,336800.0,187,93,920,71100.0,42,67,22,15,490039606014,41.5094053,-112.0109981,49003,Box Elder,0.0,0.33214285714285713,0.15869565217391304,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960601,0.42168289
Block Group 1; Census Tract 9606.02; Box Elder County; Utah,347,0,104,11,347,0,0,0,361800.0,330,17,929,89489.0,165,78,0,9,490039606021,41.5310537,-111.9831466,49003,Box Elder,0.0,0.04899135446685879,0.271259418729817,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960602,0.51063424
Block Group 2; Census Tract 9606.02; Box Elder County; Utah,294,2,4,20,294,0,0,0,390000.0,285,6,933,98021.0,156,33,17,5,490039606022,41.5091585,-111.9945467,49003,Box Elder,0.006802721088435374,0.020618556701030927,0.22615219721329047,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960602,0.51063424
Block Group 3; Census Tract 9606.02; Box Elder County; Utah,330,7,0,10,330,0,0,0,317800.0,209,121,985,79559.0,173,29,13,0,490039606023,41.5263005,-112.0090834,49003,Box Elder,0.021212121212121213,0.36666666666666664,0.2182741116751269,0,Some new construction,#A6BDDB,0.02349461311125304,49003960602,0.51063424
Block Group 1; Census Tract 9607.01; Box Elder County; Utah,313,8,16,13,313,0,0,0,279200.0,178,135,914,64145.0,189,36,0,0,490039607011,41.503969,-112.0240291,49003,Box Elder,0.025559105431309903,0.43130990415335463,0.2461706783369803,0,Some new construction,#A6BDDB,0.02349461311125304,49003960701,0.44029582
Block Group 2; Census Tract 9607.01; Box Elder County; Utah,841,0,198,176,841,0,84,19,330900.0,445,312,2766,95331.0,426,84,35,0,490039607012,41.4943576,-112.0302168,49003,Box Elder,0.0,0.41215323645970936,0.1970354302241504,103,Minimal new construction,#D9D9D9,0.02349461311125304,49003960701,0.44029582
Block Group 3; Census Tract 9607.01; Box Elder County; Utah,625,0,64,52,625,71,63,45,299300.0,318,264,1648,56667.0,164,65,0,21,490039607013,41.4909158,-112.0207871,49003,Box Elder,0.0,0.4536082474226804,0.15169902912621358,179,Minimal new construction,#D9D9D9,0.02349461311125304,49003960701,0.44029582
Block Group 1; Census Tract 9607.02; Box Elder County; Utah,769,0,125,92,769,98,18,0,397800.0,302,374,1544,35742.0,175,58,0,5,490039607021,41.4945281,-112.0058241,49003,Box Elder,0.0,0.5532544378698225,0.15414507772020725,116,Minimal new construction,#D9D9D9,0.02349461311125304,49003960702,0.43051866
Block Group 2; Census Tract 9607.02; Box Elder County; Utah,358,0,0,0,358,0,0,0,347200.0,202,124,1069,64085.0,91,0,0,0,490039607022,41.5020815,-112.0097329,49003,Box Elder,0.0,0.3803680981595092,0.08512628624883069,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960702,0.43051866
Block Group 1; Census Tract 9608.01; Box Elder County; Utah,452,66,108,18,452,0,0,1,566300.0,385,21,1607,133370.0,173,150,8,15,490039608011,41.4742606,-111.9426348,49003,Box Elder,0.14601769911504425,0.05172413793103448,0.21530802738021157,1,High growth,#0570B0,0.02349461311125304,49003960801,0.5422911
Block Group 2; Census Tract 9608.01; Box Elder County; Utah,623,12,82,132,623,0,0,12,434500.0,520,74,1793,107031.0,283,103,6,0,490039608012,41.4004199,-112.0043939,49003,Box Elder,0.019261637239165328,0.12457912457912458,0.21862799776910205,12,Some new construction,#A6BDDB,0.02349461311125304,49003960801,0.5422911
Block Group 3; Census Tract 9608.01; Box Elder County; Utah,618,14,85,158,618,0,0,59,452500.0,524,86,1780,96630.0,283,192,19,2,490039608013,41.4203599,-112.0650119,49003,Box Elder,0.022653721682847898,0.14098360655737704,0.2786516853932584,59,Some new construction,#A6BDDB,0.02349461311125304,49003960801,0.5422911
Block Group 1; Census Tract 9608.02; Box Elder County; Utah,683,10,139,351,683,0,14,0,430800.0,629,45,2351,103409.0,418,141,13,24,490039608021,41.4782773,-112.0310935,49003,Box Elder,0.014641288433382138,0.06676557863501484,0.2535091450446618,14,Some new construction,#A6BDDB,0.02349461311125304,49003960802,0.50286108
Block Group 2; Census Tract 9608.02; Box Elder County; Utah,433,0,11,174,433,0,0,0,363200.0,386,47,1596,98675.0,194,53,0,0,490039608022,41.4656293,-112.0465432,49003,Box Elder,0.0,0.10854503464203233,0.15476190476190477,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960802,0.50286108
Block Group 3; Census Tract 9608.02; Box Elder County; Utah,569,0,51,197,569,0,0,0,414200.0,526,10,1651,109286.0,298,32,0,0,490039608023,41.4555299,-112.0448825,49003,Box Elder,0.0,0.018656716417910446,0.19987886129618412,0,Minimal new construction,#D9D9D9,0.02349461311125304,49003960802,0.50286108
Block Group 1; Census Tract 1.01; Cache County; Utah,594,0,44,156,594,0,0,4,368800.0,488,63,1769,114250.0,238,92,0,18,490050001011,41.899572,-111.7878175,49005,Cache,0.0,0.11433756805807622,0.19672131147540983,4,Minimal new construction,#D9D9D9,0.02349461311125304,49005000101,0.52482569
Block Group 2; Census Tract 1.01; Cache County; Utah,580,3,46,70,580,0,0,0,311100.0,452,110,1865,90909.0,190,31,6,5,490050001012,41.9536633,-111.8664511,49005,Cache,0.005172413793103448,0.19572953736654805,0.12439678284182305,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000101,0.52482569
Block Group 3; Census Tract 1.01; Cache County; Utah,515,0,67,106,515,0,0,58,323900.0,402,60,1680,88500.0,166,71,37,19,490050001013,41.9642552,-111.7825982,49005,Cache,0.0,0.12987012987012986,0.1744047619047619,58,Minimal new construction,#D9D9D9,0.02349461311125304,49005000101,0.52482569
Block Group 1; Census Tract 1.02; Cache County; Utah,307,0,4,35,307,0,8,5,337100.0,231,56,941,72269.0,130,35,0,4,490050001021,41.9609001,-111.9614341,49005,Cache,0.0,0.1951219512195122,0.179596174282678,13,Minimal new construction,#D9D9D9,0.02349461311125304,49005000102,0.56118375
Block Group 2; Census Tract 1.02; Cache County; Utah,310,7,6,22,310,0,0,11,300000.0,260,13,612,62422.0,78,19,8,5,490050001022,41.9438129,-112.0643603,49005,Cache,0.02258064516129032,0.047619047619047616,0.17973856209150327,11,Some new construction,#A6BDDB,0.02349461311125304,49005000102,0.56118375
Block Group 1; Census Tract 2.01; Cache County; Utah,629,95,97,68,629,0,0,0,357600.0,598,31,2363,88765.0,300,77,7,39,490050002011,41.8660569,-111.8558129,49005,Cache,0.151033386327504,0.0492845786963434,0.17900973338975879,0,Construction hotspot,#034E7B,0.02349461311125304,49005000201,0.481103
Block Group 2; Census Tract 2.01; Cache County; Utah,662,16,212,70,662,0,33,16,369400.0,429,233,2458,77222.0,352,57,0,0,490050002012,41.8218414,-111.8637036,49005,Cache,0.02416918429003021,0.35196374622356497,0.16639544344995932,49,Some new construction,#A6BDDB,0.02349461311125304,49005000201,0.481103
Block Group 1; Census Tract 2.02; Cache County; Utah,427,0,0,39,427,34,0,0,345200.0,212,164,819,63266.0,95,54,0,19,490050002021,41.8325692,-111.8267335,49005,Cache,0.0,0.43617021276595747,0.20512820512820512,34,Minimal new construction,#D9D9D9,0.02349461311125304,49005000202,0.49852958
Block Group 2; Census Tract 2.02; Cache County; Utah,1439,54,560,358,1439,0,0,0,407800.0,1073,351,4546,91122.0,851,331,0,43,490050002022,41.8206465,-111.8016468,49005,Cache,0.037526059763724806,0.24648876404494383,0.2694676638803344,0,Moderate growth,#3690C0,0.02349461311125304,49005000202,0.49852958
Block Group 3; Census Tract 2.02; Cache County; Utah,639,0,203,162,639,0,0,0,439800.0,594,45,2526,117031.0,315,72,0,26,490050002023,41.8604376,-111.814237,49005,Cache,0.0,0.07042253521126761,0.1634996041171813,0,Minimal new construction,#D9D9D9,0.02349461311125304,49005000202,0.49852958
Block Group 4; Census Tract 2.02; Cache County; Utah,564,28,158,102,564,0,0,0,480100.0,564,0,2011,93929.0,458,148,21,0,490050002024,41.84481,-111.791554,49005,Cache,0.04964539007092199,0.0,0.31178518150174045,0,Moderate growth,#3690C0,0.02349461311125304,49005000202,0.49852958
Block Group 1; Census Tract 3.01; Cache County; Utah,342,0,29,26,342,0,0,19,379300.0,255,61,1120,98864.0,133,50,6,17,490050003011,41.8559417,-111.917465,49005,Cache,0.0,0.1930379746835443,0.18392857142857144,19,Minimal new construction,#D9D9D9,0.02349461311125304,49005000301,
