geoid,lat,lon
490111254142,41.0783403,-112.0101936
490111270023,40.8466828,-111.9362723
490111258092,41.1013633,-111.9922914
490111258014,41.0800747,-111.9854584
490111270022,40.8542629,-111.9368843
490111270062,40.8795281,-111.899298
490111254122,41.0844864,-112.0300485
490111270051,40.8776807,-111.9208399
490111254073,41.107962,-112.0815257
490111254102,41.0782907,-112.0608435
490111253051,41.1362292,-112.0405066
490111253061,41.1463452,-112.0690661
490111254092,41.0829318,-112.0507984
490111258054,41.0852157,-111.9699048
490111254074,41.1211161,-112.0870565
490419754003,38.7287797,-112.0889899
490351128302,40.4902769,-111.8656823
490351135432,40.6188403,-112.0162552
490351130252,40.543559,-111.9802487
490351151091,40.448922,-111.9766795
490351130241,40.5589842,-111.9724517
490351151081,40.4864186,-112.0141699
490351128301,40.4952771,-111.8648872
490351128311,40.4709829,-111.9008363
490351014021,40.7683014,-111.8226747
490351139091,40.670634,-112.1558372
490351021002,40.7628286,-111.8825013
490351019004,40.7633744,-111.8746351
490351129045,40.6317932,-111.9743599
490351129044,40.6274817,-111.970028
490351130105,40.5676828,-111.9339054
490351111061,40.6606839,-111.8400458
490351111062,40.6623003,-111.8485004
490351111072,40.653775,-111.8439464
490351111091,40.6461225,-111.8400125
490351121021,40.6502869,-111.9183903
490351124051,40.6194095,-111.9157974
490351124062,40.5988272,-111.9115025
490351134142,40.6985038,-112.038134
490351145003,40.7348775,-111.980084
490351134122,40.6996581,-112.0166423
490351138041,40.6439472,-112.0209832
490351138053,40.6441113,-112.0104793
490351017004,40.7682655,-111.8667591
490351017001,40.7639197,-111.8667585
490351017002,40.7617454,-111.8667585
490351152112,40.583236,-112.0112015
490351129183,40.6040567,-111.9338337
490351143041,40.6006942,-112.0160923
490351128244,40.5669242,-111.9063377
490351126201,40.5769353,-111.8770666
490351126203,40.5772415,-111.8839393
490351126213,40.5771944,-111.8948207
490351128252,40.5284211,-111.9013444
490351128223,40.5534271,-111.8855632
490351126202,40.5711788,-111.8786288
490351121011,40.6590593,-111.894288
490351121012,40.6685471,-111.891489
490351139081,40.7002552,-112.1048459
490351139082,40.7003222,-112.0960427
490351130103,40.5765459,-111.9531091
490351130132,40.529243,-111.9734261
490351146013,40.5332267,-111.934878
490351111053,40.661984,-111.8583118
490351116022,40.6931241,-111.9170774
490351139032,40.7064031,-112.072793
490351128271,40.4733075,-111.9252104
490351145002,40.7057478,-111.9910277
490351130124,40.552603,-111.9204717
490351125054,40.6122127,-111.8631543
490351134153,40.7177036,-112.0445658
490351134151,40.707389,-112.0341978
490351138042,40.6492065,-112.0182209
490351116023,40.6935998,-111.9067646
490351124044,40.6236015,-111.8974575
490351124061,40.602393,-111.9071168
