tract_fips,mobility_score
49017000300,0.63611734
49017000400,0.55040628
49019000200,0.46417916
49019000300,0.46683437
49021110100,0.50879741
49021110200,0.44151056
49021110300,0.44388199
49021110400,0.49928847
49021110500,0.4571597
49021110600,0.46391875
49021110701,0.45653501
49021110702,0.42039904
49023010100,0.48537174
49023010200,0.43194875
49025130100,0.54187679
49025130200,0.46018863
49027974100,0.54378629
49027974200,0.54179657
49027974300,0.51781374
49029970100,0.54437971
49029970200,0.53078783
49031960100,0.59463614
49033950100,0.54052776
49035100100,0.40858406
49035100200,0.6158132
49035100306,0.4247998
49035100307,0.43615267
49035100308,0.39023679
49035100500,0.39746168
49035100600,0.40377447
49035100700,0.40189481
49035100800,0.50389373
49035101000,0.43208444
49035101101,0.52721906
49035101102,0.53198445
49035101200,0.44664636
49035101400,0.51884073
49035101500,0.54180503
49035101600,0.43081033
49035101700,0.42983407
49035101800,0.43603322
49035101900,0.44468084
49035102000,0.34575084
49035102100,0.4447844
49035102300,0.35562503
49035102500,0.38164729
49035102600,0.37753204
49035102701,0.37130034
49035102702,0.39725083
49035102801,0.38472238
49035102802,0.42709947
49035102900,0.38128281
49035103000,0.3754532
49035103100,0.38559905
49035103200,0.39329162
49035103300,0.43736655
49035103400,0.46994355
49035103500,0.45951003
49035103600,0.4739981
49035103700,0.47612306
49035103800,0.54445428
49035103900,0.51237077
49035104000,0.53739905
49035104100,0.59665918
49035104200,0.56078237
49035104300,0.46687606
49035104400,0.57171655
49035104700,0.52466446
49035104800,0.48784417
49035104900,0.37313718
49035110102,0.55848891
49035110103,0.53263009
49035110104,0.58428741
49035110200,0.5601958
49035110300,0.46097842
49035110401,0.45788446
49035110402,0.49572355
49035110500,0.54664975
49035110600,0.53819287
49035110701,0.49479884
49035110702,0.53790867
49035110800,0.48112112
49035110900,0.53697568
49035111001,0.5530681
49035111002,0.5200038
49035111101,0.48925018
49035111102,0.48891395
49035111103,0.53809506
49035111201,0.46097577
49035111202,0.56502706
49035111302,0.50351411
49035111304,0.51756102
49035111305,0.51914567
49035111306,0.59319675
49035111400,0.40049303
49035111500,0.38207826
49035111600,0.41570139
49035111701,0.41616306
49035111702,0.42434564
49035111801,0.45570275
49035111802,0.43446216
49035111903,0.44479212
49035111904,0.44190213
49035111905,0.45124242
49035111906,0.45484275
49035112001,0.43120196
49035112002,0.43889627
49035112100,0.46442306
49035112201,0.45646739
49035112202,0.47085875
49035112301,0.46818781
49035112302,0.49044257
49035112402,0.42825708
49035112403,0.37985501
49035112404,0.41491845
49035112501,0.48516056
49035112502,0.45817456
49035112503,0.4677811
49035112604,0.51216161
49035112605,0.46251872
49035112608,0.52424753
49035112609,0.50763291
49035112610,0.42665353
49035112611,0.44848105
49035112612,0.51700014
49035112613,0.54780942
49035112614,0.53478587
49035112615,0.60590845
49035112616,0.50918275
49035112617,0.60528678
49035112618,0.53019977
49035112619,0.56113595
49035112700,0.45442465
49035112804,0.51567763
49035112805,0.50052017
49035112810,0.56065834
49035112812,0.46192789
49035112813,0.52773702
49035112814,0.52119821
49035112815,0.56719667
49035112816,0.61035192
49035112817,0.54258353
49035112819,0.49520904
49035112820,0.48719215
49035112821,0.49081874
49035112822,0.51524913
49035112823,0.54615414
49035112904,0.47499275
49035112905,0.4883869
49035112907,0.47072577
49035112912,0.49824917
49035112913,0.46793506
49035112914,0.44437274
49035112916,0.43347773
49035112917,0.50814098
49035112918,0.459874
49035112920,0.48256788
49035112921,0.48858094
49035113007,0.58842903
49035113008,0.54350531
49035113010,0.53698683
49035113011,0.57016677
49035113012,0.5691365
49035113013,0.50621545
49035113014,0.48493358
49035113016,0.54312676
49035113017,0.52202177
49035113019,0.5003373
49035113020,0.48471302
49035113101,0.43134674
49035113102,0.54361469
49035113105,0.53869075
49035113107,0.49931887
49035113108,0.50306821
49035113305,0.38682798
49035113306,0.42875317
49035113307,0.39840433
49035113308,0.40696812
49035113309,0.42899016
49035113310,0.41632655
49035113406,0.41593811
49035113407,0.43065453
49035113408,0.46690619
49035113409,0.44415942
49035113410,0.44861042
49035113411,0.49600583
49035113412,0.4955397
49035113413,0.48378438
49035113505,0.41797078
49035113509,0.43524253
49035113510,0.48423916
49035113511,0.5029428
